         1517261 function calls (1488817 primitive calls) in 60.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2640    0.005    0.000    0.342    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\trace_rules.py:2803(load_object)
     1446    0.004    0.000    0.008    0.000 C:\Users\ASUS\.conda\envs\env\lib\functools.py:35(update_wrapper)
    803/5    0.004    0.000    1.891    0.378 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     4527    0.004    0.000    0.092    0.000 C:\Users\ASUS\.conda\envs\env\lib\re.py:289(_compile)
      284    0.004    0.000    0.004    0.000 {method 'float' of 'torch._C.TensorBase' objects}
      458    0.004    0.000    0.040    0.000 C:\Users\ASUS\.conda\envs\env\lib\textwrap.py:414(dedent)
    769/5    0.004    0.000    1.888    0.378 <frozen importlib._bootstrap>:659(_load_unlocked)
     5832    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
     3377    0.004    0.000    0.028    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      855    0.004    0.000    0.566    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\nn\modules\conv.py:52(forward_fuse)
     2012    0.004    0.000    0.010    0.000 C:\Users\ASUS\.conda\envs\env\lib\ntpath.py:61(isabs)
       14    0.004    0.000    0.005    0.000 C:\Users\ASUS\Desktop\MTG_Computer_Vision_Bot\YoloInference.py:138(non_max_suppression)
      140    0.004    0.000    0.104    0.001 C:\Users\ASUS\AppData\Roaming\Python\Python39\site-packages\mss\factory.py:12(mss)
4030/3747    0.004    0.000    0.044    0.000 C:\Users\ASUS\.conda\envs\env\lib\typing.py:271(inner)
  756/127    0.004    0.000    0.005    0.000 C:\Users\ASUS\.conda\envs\env\lib\sre_parse.py:175(getwidth)
      150    0.004    0.000    0.097    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\nn\modules\block.py:340(forward)
      356    0.004    0.000    0.011    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:2152(_signature_from_function)
     1400    0.004    0.000    0.004    0.000 {getTextSize}
     1540    0.004    0.000    0.016    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\utils\checks.py:103(is_ascii)
      791    0.004    0.000    0.010    0.000 C:\Users\ASUS\.conda\envs\env\lib\dataclasses.py:671(_get_field)
     2028    0.004    0.000    0.132    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:715(getabsfile)
      720    0.004    0.000    0.223    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
     1400    0.004    0.000    0.004    0.000 {method 'squeeze' of 'torch._C.TensorBase' objects}
      873    0.004    0.000    0.019    0.000 C:\Users\ASUS\.conda\envs\env\lib\typing.py:739(__init__)
    12233    0.004    0.000    0.005    0.000 {built-in method builtins.setattr}
      707    0.004    0.000    0.012    0.000 C:\Users\ASUS\.conda\envs\env\lib\pathlib.py:682(_parse_args)
      769    0.004    0.000    0.028    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
     5240    0.004    0.000    0.008    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:1586(_is_type)
     7619    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
      622    0.004    0.000    0.063    0.000 C:\Users\ASUS\.conda\envs\env\lib\dataclasses.py:377(_create_fn)
      809    0.004    0.000    0.184    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
 1164/484    0.004    0.000    1.540    0.003 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     3445    0.004    0.000    0.030    0.000 <frozen importlib._bootstrap>:156(__enter__)
      184    0.003    0.000    0.003    0.000 {method 'unbind' of 'torch._C.TensorBase' objects}
    19668    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
    34093    0.003    0.000    0.003    0.000 {built-in method builtins.ord}
      290    0.003    0.000    0.025    0.000 C:\Users\ASUS\.conda\envs\env\lib\ctypes\__init__.py:340(__init__)
     2606    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     4172    0.003    0.000    0.009    0.000 {built-in method builtins.any}
     2033    0.003    0.000    0.003    0.000 {built-in method nt._getfullpathname}
       14    0.003    0.000    0.004    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\utils\ops.py:402(xywh2xyxy)
     1550    0.003    0.000    0.012    0.000 {built-in method builtins.all}
     2640    0.003    0.000    0.267    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\trace_rules.py:2793(_load_obj_from_str)
