         1517261 function calls (1488817 primitive calls) in 60.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\AppData\Roaming\Python\Python39\site-packages\mss\windows.py:93(MSS)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\computation\ops.py:75(Term)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\interchange\dataframe_protocol.py:174(Column)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\excel\_odswriter.py:31(ODSWriter)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\PIL\ImageStat.py:23(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\alexnet.py:55(AlexNet_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_logical_location.py:12(LogicalLocation)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_reporting_descriptor_relationship.py:16(ReportingDescriptorRelationship)
        3    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\symbolic_opset10.py:398(_avg_pool)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\ops\poolers.py:230(MultiScaleRoIAlign)
       17    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\dtypes\inference.py:334(is_hashable)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\internals\construction.py:96(arrays_to_mgr)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\json\_json.py:818(JsonReader)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\onnx\version_converter.py:4(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_numpy\_dtypes.py:255(DType)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\trace_rules.py:2840(is_aten_op_or_tensor_method)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\ops\math_ops.py:52(_NormPartial)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\segmentation\fcn.py:60(FCN_ResNet50_Weights)
        4    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\nanops.py:383(_datetimelike_compat)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\flags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\onnxruntime.py:646(OrtBackendOptions)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\google\protobuf\internal\extension_dict.py:8(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_functional_collectives.py:538(AsyncCollectiveTensor)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\resnet.py:334(ResNet34_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\swin_transformer.py:677(Swin_S_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\quantization\shufflenetv2.py:128(ShuffleNet_V2_X0_5_QuantizedWeights)
        2    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_sources.py:11(get_source_lines_and_file)
        1    0.000    0.000    0.781    0.781 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\utils\_contextlib.py:112(decorate_context)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\numeric.py:43(NumericDtype)
       15    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\excel\_base.py:543(BaseExcelReader)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\sql.py:2092(ADBCDatabase)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\rendered_sst2.py:11(RenderedSST2)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\compiled_autograd.py:35(AutogradCompilerInstance)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\lists.py:32(BaseListVariable)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\random.py:147(OffsetBasedRNGTracker)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_functorch\_aot_autograd\schemas.py:666(AOTConfig)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\video\resnet.py:25(Conv3DSimple)
        6    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\logging\__init__.py:1230(append)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_prims\__init__.py:2785(_normal_meta)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\coco.py:10(CocoDetection)
       34    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\ops\invalid.py:44(make_invalid_op)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\_config\display.py:17(detect_console_encoding)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\api\indexers\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\_testing\compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\sbd.py:13(SBDataset)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\ops\focal_loss.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\mnasnet.py:221(MNASNet0_5_Weights)
      5/4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1251(__iter__)
       14    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\utils\callbacks\base.py:106(on_predict_start)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\dtypes\dtypes.py:2046(ArrowDtype)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\internals\array_manager.py:599(ArrayManager)
        2    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\computation\expr.py:127(_compose)
        1    0.000    0.000    0.004    0.004 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\api\interchange\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\pytables.py:2359(DataCol)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\html\parser.py:62(HTMLParser)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\stanford_cars.py:10(StanfordCars)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\usps.py:12(USPS)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_globals.py:22(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\regnet.py:461(RegNet_Y_800MF_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\regnet.py:505(RegNet_Y_1_6GF_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\regnet.py:908(RegNet_X_800MF_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\detection\image_list.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\quantization\mobilenetv3.py:30(QuantizableSqueezeExcitation)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\cuda\__init__.py:201(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\zoneinfo\_tzpath.py:5(reset_tzpath)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\boolean.py:239(BooleanArray)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\common.py:942(_BufferedWriter)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\_infra.py:233(<setcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_notification.py:18(Notification)
        6    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\onnx\mapping.py:94(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\googlenet.py:278(GoogLeNet_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\vgg.py:177(VGG13_BN_Weights)
        4    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_prims_common\__init__.py:568(validate_dim_length)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pytz\lazy.py:172(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\_util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\resample.py:1872(PeriodIndexResampler)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\resample.py:2072(TimeGrouper)
        1    0.000    0.000    0.014    0.014 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\json\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_web_request.py:15(WebRequest)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\bytecode_transformation.py:43(Instruction)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\random.py:93(RNGStateTracker)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\regnet.py:549(RegNet_Y_3_2GF_Weights)
        2    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\textwrap.py:160(_split)
        3    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\utils\weak.py:45(__init__)
        5    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\utils\_config_module.py:140(__getattr__)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\flickr.py:13(Flickr8kParser)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\moving_mnist.py:11(MovingMNIST)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\widerface.py:14(WIDERFace)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\_meta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\distributed.py:292(BackwardHookVariable)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\resume_execution.py:33(ReenterWith)
        2    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_decomp\decompositions_for_rng.py:15(register_rng_decomposition)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\regnet.py:1040(RegNet_X_8GF_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\resnet.py:356(ResNet50_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\video\mvit.py:195(MultiscaleAttention)
        2    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nn\modules\container.py:117(__getitem__)
        2    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_ops.py:591(__call__)
       23    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\_config\config.py:849(inner)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\integer.py:16(IntegerDtype)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\floating.py:16(FloatingDtype)
        1    0.000    0.000    0.004    0.004 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\sparse\__init__.py:1(<module>)
       21    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\indexes\accessors.py:176(<lambda>)
        1    0.000    0.000    0.028    0.028 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\api\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\json\_json.py:1125(Parser)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\onnxruntime.py:159(OrtOperatorSupport)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\vision_transformer.py:562(ViT_H_14_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\quantization\mobilenetv2.py:66(MobileNet_V2_QuantizedWeights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\video\s3d.py:154(S3D_Weights)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1216(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\numpy\core\getlimits.py:696(min)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\frame.py:4614(_get_item_cache)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\utils.py:862(getfile)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_numpy\_dtypes.py:192(<dictcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\vgg.py:117(VGG11_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\quantization\inception.py:169(Inception_V3_QuantizedWeights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\quantization\mobilenetv3.py:161(MobileNet_V3_Large_QuantizedWeights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\video\swin_transformer.py:574(Swin3D_B_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_prims_common\wrappers.py:242(_fn)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\clevr.py:12(CLEVRClassification)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\utils\model_zoo.py:2(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\reshape\concat.py:396(_Concatenator)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\food101.py:11(Food101)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_version_control_details.py:15(VersionControlDetails)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\onnx\helper.py:84(create_op_set_id_version_map)
        2    0.000    0.000    0.001    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_numpy\_funcs.py:20(_public_functions)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\regnet.py:952(RegNet_X_1_6GF_Weights)
       39    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\_collections_abc.py:262(__subclasshook__)
        2    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\threading.py:82(RLock)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\urllib\parse.py:380(urlparse)
        5    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\typing_extensions.py:1528(args)
        2    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_utils_internal.py:48(resolve_library_path)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\ops\invalid.py:1(<module>)
       35    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getdefaultencoding}
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\flags.py:10(Flags)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\internals\api.py:114(__getattr__)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\excel\_calamine.py:40(CalamineReader)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\excel\_pyxlsb.py:24(PyxlsbReader)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\html.py:579(_BeautifulSoupHtml5LibFrameParser)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_exception.py:16(Exception)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\onnx\mapping.py:93(DeprecatedWarningDict)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\external_utils.py:29(wrap_inline)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\comptime.py:135(ComptimeContext)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\resume_execution.py:279(ResumeFunctionMetadata)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\ops\view_ops.py:125(Split)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\optical_flow\raft.py:699(Raft_Small_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\quantization\resnet.py:261(ResNeXt101_64X4D_QuantizedWeights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\segmentation\_utils.py:10(_SimpleSegmentationModel)
        7    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\fx\experimental\symbolic_shapes.py:655(expect_true)
        5    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\_config\config.py:649(_get_deprecated_option)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\internals\construction.py:506(nested_data_to_arrays)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\gtsrb.py:12(GTSRB)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\lfw.py:177(LFWPairs)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_attachment.py:18(Attachment)
        7    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\symbolic_opset11.py:349(_interpolate)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\encodings\raw_unicode_escape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\dicts.py:514(DataClassVariable)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\misc.py:426(SavedTensorBox)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\resnet.py:399(ResNet101_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\maxvit.py:771(MaxVit_T_Weights)
        6    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\utils\_pytree.py:608(_is_leaf)
       12    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\indexes\extension.py:110(inherit_names)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\convnext.py:229(ConvNeXt_Small_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_multiformat_message_string.py:12(MultiformatMessageString)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_artifact_location.py:12(ArtifactLocation)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\ops\misc.py:13(FrozenBatchNorm2d)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\utils\_sympy\reference.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\placement_types.py:14(Placement)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\enum.py:1002(unique)
        2    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\textwrap.py:146(_munge_whitespace)
        4    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_decomp\__init__.py:145(register_decomposition)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\zoneinfo\_tzpath.py:31(_parse_python_tzpath)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\frame.py:3971(_ixs)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\internals\blocks.py:164(maybe_split)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\fx\registration.py:36(OpName)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\op_schema.py:413(OpInfo)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\placement_types.py:282(Replicate)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\regnet.py:864(RegNet_X_400MF_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\regnet.py:1084(RegNet_X_16GF_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\regnet.py:1128(RegNet_X_32GF_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\resnet.py:59(BasicBlock)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\resnet.py:442(ResNet152_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\video\mvit.py:601(MViT_V1_B_Weights)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\weakref.py:165(__setitem__)
        2    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_prims_common\__init__.py:581(validate_shape)
       23    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\_config\config.py:886(inner)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\formats\console.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\reshape\merge.py:1960(_AsOfMerge)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\video_utils.py:47(_VideoTimestampsDataset)
